# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1404.05113 0.000462 -0.000956 0.000580 -0.002387 0.008486 -0.000181 0.999961 0.0020009227 -0.0000000811 0.0000169681 0.0020011879 0.0000047771 0.0010015215 0.0280426123 0.0000000001 -0.0000026640 0.0280426123 0.0000052113 0.0012535591
1404.08424 0.000591 -0.001029 0.000789 -0.002270 0.008389 0.000022 0.999962 0.0020682676 -0.0000000762 0.0000167758 0.0020685285 0.0000045394 0.0010688512 0.0320771290 0.0000000002 -0.0000037429 0.0320771290 0.0000060411 0.0013559554
1404.15058 0.000899 -0.001228 0.001168 -0.002376 0.008367 -0.000108 0.999962 0.0022098327 -0.0000000795 0.0000167304 0.0022100901 0.0000047523 0.0012104153 0.0415363977 0.0000000004 -0.0000067235 0.0415363980 0.0000083808 0.0015786542
1404.18375 0.000990 -0.001270 0.001324 -0.002305 0.008690 0.000204 0.999960 0.0022838921 -0.0000000801 0.0000173782 0.0022841730 0.0000046064 0.0012845175 0.0470264005 0.0000000004 -0.0000079177 0.0470264008 0.0000092072 0.0016992100
1404.21697 0.001245 -0.001313 0.001624 -0.002221 0.008353 0.000045 0.999963 0.0023602943 -0.0000000742 0.0000167039 0.0023605537 0.0000044399 0.0013608722 0.0530871050 0.0000000005 -0.0000108007 0.0530871059 0.0000100866 0.0018263946
1404.28332 0.001577 -0.001580 0.002107 -0.002402 0.008534 0.000066 0.999961 0.0025194772 -0.0000000820 0.0000170657 0.0025197455 0.0000048027 0.0015200829 0.0670463865 0.0000000010 -0.0000156307 0.0670463879 0.0000140330 0.0021009110
1404.31645 0.001741 -0.001581 0.002412 -0.002263 0.008597 0.000016 0.999960 0.0026022503 -0.0000000778 0.0000171909 0.0026025254 0.0000045251 0.0016028620 0.0750333796 0.0000000010 -0.0000183872 0.0750333814 0.0000147039 0.0022486883
1404.34966 0.001920 -0.001645 0.002704 -0.002287 0.008614 0.000150 0.999960 0.0026874508 -0.0000000788 0.0000172246 0.0026877267 0.0000045714 0.0016880653 0.0837859813 0.0000000012 -0.0000215769 0.0837859836 0.0000161794 0.0024043928
1404.38283 0.002045 -0.001699 0.002955 -0.002302 0.008935 0.000116 0.999957 0.0027747115 -0.0000000822 0.0000178660 0.0027750097 0.0000046009 0.0017753713 0.0933212501 0.0000000013 -0.0000243104 0.0933212526 0.0000176112 0.0025676870
1404.41596 0.002291 -0.001891 0.003277 -0.002537 0.008760 0.000093 0.999958 0.0028641033 -0.0000000889 0.0000175178 0.0028643846 0.0000050708 0.0018647430 0.1036962778 0.0000000020 -0.0000290296 0.1036962812 0.0000211642 0.0027388759
