# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1404.216965741999957,0.00899,0.00026,0.00045,0.00000,0.00000,0.01526,0.02496
1404.283318460999908,0.00773,0.00034,0.00017,0.00000,0.00000,0.00203,0.01027
1404.316446565999968,0.00976,0.00029,0.00016,0.00000,0.00000,0.00265,0.01287
1404.349662929999795,0.00881,0.00050,0.00037,0.00000,0.00000,0.00235,0.01203
1404.382832377999875,0.00877,0.00047,0.00082,0.00000,0.00000,0.00290,0.01297
1404.415963638999983,0.00846,0.00029,0.00041,0.00000,0.00000,0.00286,0.01202
1404.449179429999958,0.00734,0.00028,0.00034,0.00000,0.00000,0.00285,0.01081
1404.482308429999875,0.01063,0.00024,0.00036,0.00000,0.00000,0.00265,0.01389
1404.515481325999872,0.00796,0.00051,0.00026,0.00000,0.00000,0.00388,0.01261
1404.548655533999863,0.01080,0.00023,0.00037,0.00000,0.00000,0.00242,0.01382
1404.581828793999875,0.01054,0.00024,0.00032,0.00000,0.00000,0.00254,0.01363
1404.615001742000004,0.00679,0.00031,0.00200,0.00000,0.00331,0.00576,0.01817
1404.648257846999968,0.00752,0.00029,0.00173,0.00000,0.00284,0.00203,0.01442
1404.681393690999812,0.01221,0.00058,0.00153,0.00000,0.00010,0.00196,0.01638
1404.714520429999993,0.01218,0.00027,0.00055,0.00000,0.00000,0.00197,0.01497
1404.748807371220209,0.00972,0.00033,0.00093,0.00000,0.00006,0.00245,0.01348
1404.781492851735493,0.01558,0.00031,0.00143,0.00000,0.00000,0.00216,0.01948
1404.814622455735616,0.01301,0.00029,0.00057,0.00000,0.00000,0.00201,0.01589
1404.855513168305606,0.01462,0.00029,0.00090,0.00000,0.00000,0.00212,0.01795
1404.891703426828371,0.01678,0.00040,0.00128,0.00000,0.00000,0.00233,0.02080
1404.924537101323722,0.01084,0.00031,0.00093,0.00000,0.00000,0.00231,0.01439
1404.957716596961973,0.01167,0.00036,0.00070,0.00000,0.00000,0.00256,0.01529
1404.990924480181548,0.00990,0.00028,0.00051,0.00000,0.00000,0.00201,0.01270
1405.024027326806845,0.01003,0.00030,0.00058,0.00000,0.00000,0.00257,0.01348
1405.057345787894747,0.01011,0.00022,0.00074,0.00000,0.00000,0.00213,0.01322
1405.090666399429438,0.00910,0.00030,0.00108,0.00000,0.00000,0.00271,0.01318
1405.123850154451475,0.00634,0.00038,0.00027,0.00000,0.00000,0.00324,0.01023
1405.156557799929033,0.00928,0.00036,0.00106,0.00000,0.00778,0.00248,0.02097
1405.188658525091114,0.00733,0.00062,0.00350,0.00001,0.00851,0.00267,0.02264
1405.221411539133896,0.00610,0.00051,0.00300,0.00001,0.00046,0.00214,0.01222
1405.254882539142272,0.00657,0.00030,0.00260,0.00001,0.00083,0.00266,0.01298
1405.287992339365246,0.01055,0.00033,0.00044,0.00000,0.00159,0.00301,0.01593
1405.321123186277418,0.00585,0.00050,0.00252,0.00000,0.00481,0.00263,0.01631
1405.354499497386996,0.00735,0.00037,0.00123,0.00001,0.00707,0.00366,0.01970
1405.386958698449916,0.00536,0.00040,0.00127,0.00001,0.00654,0.00350,0.01708
1405.418392997292585,0.00686,0.00062,0.00142,0.00001,0.01388,0.00216,0.02496
1405.451378853176038,0.00378,0.00023,0.00065,0.00000,0.01503,0.00278,0.02248
1405.483905363753138,0.00365,0.00023,0.00225,0.00001,0.01886,0.00212,0.02714
1405.516378198249868,0.00902,0.00040,0.00479,0.00003,0.01386,0.00213,0.03023
1405.549079672880225,0.00517,0.00034,0.00101,0.00003,0.01225,0.00205,0.02086
1405.581233217725185,0.00691,0.00053,0.00541,0.00004,0.02580,0.00201,0.04070
1405.614435650488531,0.00443,0.00025,0.00350,0.00004,0.00000,0.00193,0.01014
1405.646895871614788,0.00680,0.00056,0.01030,0.00004,0.01830,0.00250,0.03850
1405.679929120050474,0.00732,0.00027,0.01033,0.00006,0.00180,0.00260,0.02239
1405.713251932581670,0.00680,0.00073,0.01177,0.00005,0.00000,0.00192,0.02126
1405.746505902066929,0.00777,0.00066,0.00658,0.00005,0.00000,0.00186,0.01692
1405.780887191098827,0.00727,0.00057,0.02254,0.00006,0.00128,0.00200,0.03373
1405.814145249793000,0.00402,0.00034,0.00556,0.00005,0.00340,0.00184,0.01521
1405.847466860296663,0.00748,0.00032,0.00773,0.00005,0.00000,0.00187,0.01745
1405.880503182416987,0.01205,0.00027,0.00851,0.00005,0.00261,0.00243,0.02593
1405.913664245483005,0.00496,0.00043,0.00911,0.00005,0.00271,0.00214,0.01940
1405.946630644703191,0.00777,0.00043,0.01578,0.00007,0.00000,0.00254,0.02659
1405.979689133908323,0.00403,0.00034,0.01066,0.00007,0.00154,0.00243,0.01906
1406.013069405933948,0.00649,0.00034,0.01995,0.00006,0.00000,0.00212,0.02896
1406.046398594649645,0.00360,0.00028,0.01018,0.00005,0.00228,0.00200,0.01839
1406.079637280400902,0.00725,0.00067,0.00863,0.00005,0.00000,0.00220,0.01880
1406.112824478364246,0.01114,0.00028,0.00720,0.00007,0.00000,0.00209,0.02078
1406.146050044258118,0.00637,0.00059,0.00623,0.00005,0.00000,0.00246,0.01571
1406.179134013289968,0.00590,0.00044,0.02619,0.00006,0.00274,0.00189,0.03723
1406.212338802002023,0.00420,0.00031,0.00833,0.00006,0.00294,0.00217,0.01801
1406.245627916930289,0.00388,0.00034,0.01555,0.00008,0.00000,0.00237,0.02222
1406.278963116777277,0.00452,0.00034,0.00332,0.00005,0.00000,0.00260,0.01084
1406.312223388683833,0.00647,0.00068,0.02164,0.00006,0.00152,0.00240,0.03277
1406.345412302786144,0.00655,0.00026,0.00490,0.00005,0.00000,0.00183,0.01360
1406.411747374428614,0.00831,0.00106,0.01678,0.00005,0.00120,0.00213,0.02953
1406.444875649373671,0.00646,0.00032,0.00892,0.00005,0.00237,0.00197,0.02009
1406.477998201708942,0.00478,0.00036,0.00721,0.00007,0.00000,0.00251,0.01493
1406.511223257788515,0.00766,0.00073,0.00996,0.00005,0.00121,0.00206,0.02168
1406.544387209795332,0.00747,0.00039,0.00846,0.00007,0.00000,0.00194,0.01833
1406.577490567198765,0.00679,0.00065,0.01476,0.00006,0.00000,0.00229,0.02455
1406.610648789726156,0.00476,0.00040,0.00788,0.00005,0.00148,0.00250,0.01707
1406.677097586458558,0.00652,0.00061,0.02079,0.00006,0.00151,0.00252,0.03201
1406.710192703212442,0.00657,0.00026,0.00147,0.00003,0.00555,0.00207,0.01595
1406.743493451353743,0.00777,0.00073,0.00401,0.00004,0.00000,0.00234,0.01489
1406.776674082474301,0.00498,0.00040,0.01178,0.00005,0.00000,0.00201,0.01923
1406.809960140028807,0.00636,0.00036,0.01025,0.00006,0.00000,0.00239,0.01942
1406.843299141494754,0.00659,0.00061,0.01442,0.00006,0.00141,0.00194,0.02503
1406.876446469894972,0.00748,0.00035,0.00402,0.00005,0.00000,0.00196,0.01386
1406.909693760251457,0.00585,0.00066,0.02154,0.00006,0.00000,0.00212,0.03023
1406.942905975745362,0.00387,0.00029,0.00683,0.00006,0.00000,0.00200,0.01304
1406.976247610593873,0.00640,0.00070,0.02266,0.00006,0.00000,0.00206,0.03188
1407.042713352964711,0.00697,0.00090,0.01004,0.00005,0.00000,0.00184,0.01980
1407.108936896844625,0.01239,0.00051,0.00704,0.00005,0.00288,0.00223,0.02510
1407.142061349939922,0.00612,0.00033,0.00913,0.00006,0.00285,0.00234,0.02084
1407.208328366077694,0.01100,0.00052,0.00657,0.00005,0.00000,0.00197,0.02012
1407.241487292487591,0.00743,0.00074,0.01175,0.00006,0.00440,0.00194,0.02633
1407.307758007434586,0.00673,0.00104,0.00881,0.00005,0.00246,0.00177,0.02087
1407.340920454082834,0.00738,0.00046,0.01936,0.00006,0.00000,0.00231,0.02958
1407.374082660093109,0.00754,0.00033,0.00065,0.00003,0.00149,0.00223,0.01228
1407.407221615332219,0.00682,0.00041,0.00224,0.00005,0.00000,0.00266,0.01219
1407.473553603865412,0.00701,0.00059,0.00878,0.00005,0.00232,0.00199,0.02074
1407.506756656255675,0.00782,0.00074,0.00215,0.00003,0.00000,0.00196,0.01271
1407.539769142744944,0.00686,0.00038,0.01463,0.00006,0.00000,0.00192,0.02385
1407.573016721023578,0.00507,0.00033,0.00049,0.00005,0.00000,0.00265,0.00859
1407.605943313788202,0.00740,0.00040,0.01566,0.00006,0.00233,0.00206,0.02792
1407.639091242141603,0.00568,0.00039,0.00722,0.00007,0.00000,0.00245,0.01580
1407.672241856919754,0.01287,0.00028,0.01421,0.00005,0.00000,0.00212,0.02953
1407.705383278169393,0.00442,0.00026,0.01345,0.00005,0.00335,0.00214,0.02367
1407.738555927265224,0.00414,0.00027,0.00264,0.00005,0.00168,0.00268,0.01146
1407.771800058033250,0.00643,0.00056,0.02190,0.00007,0.00152,0.00206,0.03254
1407.804941310324466,0.00371,0.00026,0.00770,0.00006,0.00121,0.00196,0.01490
1407.838226189037186,0.00698,0.00065,0.01093,0.00006,0.00162,0.00250,0.02274
1407.871442822138988,0.00519,0.00073,0.00836,0.00008,0.00290,0.00216,0.01942
1407.904850431188606,0.01230,0.00026,0.01815,0.00007,0.00000,0.00198,0.03275
1407.938032308100901,0.00414,0.00026,0.00507,0.00005,0.00000,0.00189,0.01140
1407.971460929003342,0.00499,0.00035,0.00524,0.00005,0.00000,0.00305,0.01369
1408.004550857226604,0.00544,0.00034,0.00989,0.00006,0.00246,0.00239,0.02059
1408.037781226737479,0.00600,0.00034,0.00369,0.00005,0.00356,0.00245,0.01608
1408.070972041716004,0.00866,0.00045,0.01118,0.00005,0.00000,0.00184,0.02219
1408.104212572026654,0.00728,0.00045,0.00251,0.00007,0.00000,0.00305,0.01336
1408.137393443500741,0.00720,0.00055,0.01300,0.00005,0.00690,0.00196,0.02965
1408.203703345083795,0.00910,0.00055,0.02060,0.00004,0.00106,0.00188,0.03324
1408.236683756363618,0.00742,0.00025,0.00881,0.00005,0.02098,0.00200,0.03952
1408.269847869424439,0.00419,0.00033,0.00796,0.00006,0.01082,0.00212,0.02548
