# timestamp(s) tx ty tz qx qy qz qw
1540821102.34768 0.006479 0.004312 0.001390 -0.013373 0.005490 -0.000917 0.999895
1540821102.38085 0.006873 0.004752 0.001447 -0.013053 0.005345 -0.001651 0.999899
1540821102.41407 0.007537 0.005333 0.001706 -0.012629 0.005101 -0.002009 0.999905
1540821102.44720 0.008232 0.005902 0.002005 -0.012130 0.005392 -0.002198 0.999909
1540821102.48037 0.008863 0.006625 0.002238 -0.011673 0.005581 -0.001606 0.999915
1540821102.51354 0.009545 0.007115 0.002529 -0.011833 0.005188 -0.001828 0.999915
1540821102.54672 0.010386 0.007884 0.002909 -0.011563 0.004502 -0.002041 0.999921
1540821102.57989 0.010784 0.008699 0.003047 -0.010837 0.004948 -0.002332 0.999926
1540821102.61306 0.011089 0.009450 0.003352 -0.010994 0.005348 -0.001524 0.999924
1540821102.64631 0.011387 0.010179 0.003541 -0.010999 0.006050 -0.000084 0.999921
1540821102.68157 -0.030307 -0.036286 0.002158 -0.009474 0.002370 0.001013 0.999952
1540821102.71475 -0.032801 -0.037825 0.002685 -0.010262 0.002417 0.002460 0.999941
1540821102.74805 -0.035170 -0.039176 0.003145 -0.010316 0.001666 0.003967 0.999938
1540821102.81431 -0.040225 -0.042500 0.003850 -0.010375 0.002071 0.005201 0.999931
1540821102.88073 -0.044992 -0.046263 0.005428 -0.008566 0.001203 0.005598 0.999947
1540821102.94700 -0.049925 -0.049584 0.007478 -0.005379 0.000656 0.007152 0.999960
1540821102.98018 -0.052462 -0.050941 0.008708 -0.003457 0.000551 0.008574 0.999957
1540821103.01334 -0.055226 -0.052393 0.009979 -0.001752 0.001614 0.009797 0.999949
1540821103.04647 -0.057976 -0.054051 0.011945 -0.001971 0.001778 0.010840 0.999938
1540821103.07973 -0.060865 -0.056192 0.014593 -0.004475 0.001834 0.010834 0.999930
1540821103.11290 -0.064062 -0.058817 0.017811 -0.008375 0.002309 0.009717 0.999915
1540821103.14607 -0.067588 -0.061828 0.021545 -0.012004 0.003025 0.007869 0.999892
1540821103.17924 -0.071285 -0.064947 0.025858 -0.013497 0.003020 0.005542 0.999889
1540821103.21452 -0.051431 -0.027972 0.059011 -0.022295 0.002175 0.005186 0.999736
1540821103.24767 -0.054570 -0.026898 0.065709 -0.022285 0.000393 0.003699 0.999745
1540821103.28085 -0.057910 -0.025749 0.072168 -0.022995 0.000220 0.002777 0.999732
1540821103.31464 -0.012679 0.013387 0.036856 -0.018199 -0.004007 -0.006921 0.999802
1540821103.34670 -0.015449 -0.004535 0.079401 -0.018852 0.008558 -0.005575 0.999770
1540821103.37446 -0.023418 -0.030430 0.069085 -0.019038 0.009550 0.010356 0.999720
1540821103.41251 -0.008840 -0.024815 0.049141 -0.019137 0.010783 0.010128 0.999707
1540821103.44525 -0.007212 -0.039385 0.058187 -0.020138 0.012845 0.011040 0.999654
1540821103.47805 0.020189 -0.044731 0.018795 -0.019218 0.010476 0.013440 0.999670
